id,name,team,minutes_average,passes_accuracy,take_ons_accuracy,challenges_accuracy,tackles_accuracy,shots_accuracy,saves_accuracy,external_id,matches_played,starts,minutes,progressive_carries,progressive_passes,progressive_passes_received,touches,carries,miscontrols,dispossessed,passes_completed,passes_attempted,take_ons_attempted,successful_take_ons,tackles,tackles_won,blocks,shots_blocked,passes_blocked,interceptions,clearances,recoveries,dribblers_challenged,challenges_lost,errors,shot_creating_actions,goal_creating_actions,shots_total,shots_on_target,expected_goals,expected_assists,key_passes,carries_into_final_third,offsides,gk_shots_on_target_against,gk_saves
62,David Brooks,Bournemouth,33.1,75.33,31.82,14.29,44.44,46.88,0,dc4cae05,29,9,960,0.45,0.45,1.06,6.99,4.38,0.38,0.18,3.97,5.27,0.44,0.14,0.18,0.08,0.23,0.03,0.21,0.06,0.12,0.64,0.21,0.18,0.01,0.59,0.03,0.32,0.15,0.03,0.03,0.26,0.32,0,0,0
63,Ryan Christie,Bournemouth,73,79.25,48.18,42.08,61.04,36.17,0,26ce2263,29,27,2117,0.97,3.91,1.26,39.31,20.74,1.26,0.71,23.91,30.17,1.37,0.66,1.54,0.94,1.26,0.31,0.94,0.86,1.46,5.2,1.83,1.06,0.09,2.43,0.26,0.94,0.34,0.05,0.09,1.17,1.14,0.03,0,0
64,Lewis Cook,Bournemouth,82.72,77.21,64.71,55.23,51.92,27.78,0,2afc7272,36,32,"2,978",0.85,4.05,1.33,48.72,21.15,0.79,0.46,31.38,40.64,0.51,0.33,2.08,1.08,0.77,0.28,0.49,1.05,1.79,4.79,1.72,0.77,0,2.28,0.13,0.36,0.1,0.02,0.1,1.23,0.74,0.08,0,0
65,Enes Ünal,Bournemouth,20.29,63.64,6.25,0,0,33.33,0,f8eca1b6,17,2,345,0.05,0.16,0.29,2.29,1.21,0.23,0.17,0.84,1.32,0.16,0.01,0.01,0,0.01,0,0.01,0,0.08,0.21,0.04,0.04,0,0.12,0.04,0.27,0.09,0.04,0,0.05,0.04,0.01,0,0
68,James Hill,Bournemouth,44.8,64.9,50,27.27,53.33,0,0,69942fb3,10,6,448,0.15,0.8,0.4,15.95,7.3,0.1,0,7.95,12.25,0.1,0.05,0.75,0.4,0.25,0,0.25,0.45,1.55,0.65,0.55,0.4,0,0.4,0.05,0.3,0,0.02,0.02,0.15,0.3,0,0,0
69,Daniel Jebbison,Bournemouth,7.44,77.27,50,66.67,66.67,33.33,0,03edb878,16,0,119,0.02,0.02,0.08,0.4,0.23,0.07,0.03,0.17,0.22,0.04,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0,0.03,0,0.03,0.01,0.01,0,0.02,0.01,0,0,0
70,Milos Kerkez,Bournemouth,87.79,75.78,46.03,63,49.64,26,0,0ad53bdc,38,38,3336,2.79,4.18,5.18,56.79,28.79,1.29,0.58,35.42,46.74,1.26,0.58,1.37,0.68,1,0.29,0.71,1.18,2.79,4.45,1,0.37,0.11,2.18,0.24,0.5,0.13,0.02,0.07,0.92,1.92,0.08,0,0
71,Justin Kluivert,Bournemouth,68.82,74.45,41.41,18,48.08,40,0,4c3a6744,34,29,2340,1.84,2.39,3.93,24.68,14.68,1.25,0.61,13.23,17.77,1.98,0.82,0.52,0.25,0.55,0,0.55,0.32,0.55,1.77,0.5,0.41,0.02,2.3,0.27,1.3,0.52,0.23,0.08,1.02,1.25,0.11,0,0
74,Dango Ouattara,Bournemouth,62.66,60,47.8,41.76,74.36,31.88,0,2f9e4435,32,21,2005,1.76,0.96,4.24,21.31,10.93,1.4,0.71,8.16,13.6,1.82,0.87,0.78,0.58,0.8,0.22,0.58,0.24,1.13,2.04,0.91,0.53,0,1.6,0.13,1.38,0.44,0.19,0.07,0.78,0.78,0.31,0,0
76,Philip Billing,Bournemouth,19.7,78.57,28.57,22.22,65,53.85,0,d328a254,10,1,197,0.02,0.11,0.18,3.02,1.38,0.02,0.04,1.76,2.24,0.07,0.02,0.2,0.13,0.09,0.02,0.07,0.09,0.13,0.18,0.09,0.07,0,0.18,0.02,0.13,0.07,0.03,0,0.07,0,0,0,0
